"Number","President","Height_in","Age","Party"
1,"George Washington",73.5,57,"No party"
2,"John Adams",67,61,"Federalist"
3,"Thomas Jefferson",74.5,57,"Democratic-Republican"
4,"James Madison",64,57,"Democratic-Republican"
5,"James Monroe",72,58,"Democratic-Republican"
6,"John Quincy Adams",67.5,57,"Democratic-Republican"
7,"Andrew Jackson",73,61,"Democratic"
8,"Martin Van Buren",66,54,"Democratic"
9,"William Henry Harrison",68,68,"Whig"
10,"John Tyler",72,51,"No party "
11,"James K. Polk",68,49,"Democratic"
12,"Zachary Taylor",68,64,"Whig"
13,"Millard Fillmore",69,50,"Whig"
14,"Franklin Pierce",70,48,"Democratic"
15,"James Buchanan",72,65,"Democratic"
16,"Abraham Lincoln",76,52,"Republican"
17,"Andrew Johnson",70,56,"Democratic"
18,"Ulysses S. Grant",68,46,"Republican"
19,"Rutherford B. Hayes",68.5,54,"Republican"
20,"James A. Garfield",72,49,"Republican"
21,"Chester A. Arthur",72,51,"Republican"
22,"Grover Cleveland",71,47,"Democratic"
23,"Benjamin Harrison",66,55,"Republican"
24,"Grover Cleveland",71,55,"Democratic"
25,"William McKinley",67,54,"Republican"
26,"Theodore Roosevelt",70,42,"Republican"
27,"William Howard Taft",71.5,51,"Republican"
28,"Woodrow Wilson",71,56,"Democratic"
29,"Warren G. Harding",72,55,"Republican"
30,"Calvin Coolidge",70,51,"Republican"
31,"Herbert Hoover",71.5,54,"Republican"
32,"Franklin D. Roosevelt",74,51,"Democratic"
33,"Harry S Truman",69,60,"Democratic"
34,"Dwight D. Eisenhower",70.5,62,"Republican"
35,"John F. Kennedy",72,43,"Democratic"
36,"Lyndon B. Johnson",76,55,"Democratic"
37,"Richard Nixon",71.5,56,"Republican"
38,"Gerald Ford",72,61,"Republican"
39,"Jimmy Carter",69.5,52,"Democratic"
40,"Ronald Reagan",73,69,"Republican"
41,"George H. W. Bush",74,64,"Republican"
42,"Bill Clinton",74,46,"Democratic"
43,"George W. Bush",71.5,54,"Republican"
44,"Barack Obama",73,47,"Democratic"
45,"Donald Trump",75,71,"Republican"
46,"Joe Biden",71,77,"Democratic"
